2026-03-16 17:26:37,627 - optuna.study._optimize - WARNING - Trial 65 failed with value None.
2026-03-16 17:26:54,739 - optuna.storages._in_memory - INFO - A new study created in memory with name: no-name-fa4acafa-deb7-4930-9903-cfff9462f7b1
2026-03-16 17:33:38,530 - optuna.study.study - INFO - Trial 12 finished with value: 0.7572 and parameters: {'n_estimators': 670, 'max_depth': 6, 'learning_rate': 0.020754621779464834, 'gamma': 1.511125542434247, 'lambda': 6.875246614904267, 'alpha': 1.7139964413315822, 'subsample': 0.991783394530682, 'colsample_bytree': 0.8125090057868244, 'min_child_weight': 3, 'max_delta_step': 0.9788888163099086, 'iqr_factor': 1.615841586817211}. Best is trial 12 with value: 0.7572.
2026-03-16 17:34:11,291 - optuna.study.study - INFO - Trial 13 finished with value: 0.756025 and parameters: {'n_estimators': 655, 'max_depth': 6, 'learning_rate': 0.03136091834758847, 'gamma': 1.822155408348269, 'lambda': 9.0137109715009, 'alpha': 3.643975895599138, 'subsample': 0.9980084946806067, 'colsample_bytree': 0.8206580448536374, 'min_child_weight': 1, 'max_delta_step': 0.9818172026634319, 'iqr_factor': 1.7199148903328265}. Best is trial 12 with value: 0.7572.
2026-03-16 17:34:48,625 - optuna.study.study - INFO - Trial 14 finished with value: 0.755425 and parameters: {'n_estimators': 669, 'max_depth': 4, 'learning_rate': 0.024123234166588656, 'gamma': 2.0039123329838735, 'lambda': 9.050094822471017, 'alpha': 2.1085110167543117, 'subsample': 0.9234141233512901, 'colsample_bytree': 0.9897127958863723, 'min_child_weight': 20, 'max_delta_step': 0.8830731140931565, 'iqr_factor': 1.733831051099802}. Best is trial 12 with value: 0.7572.
2026-03-16 17:35:21,889 - optuna.study.study - INFO - Trial 15 finished with value: 0.758 and parameters: {'n_estimators': 540, 'max_depth': 6, 'learning_rate': 0.051567404286866264, 'gamma': 0.9107471474788895, 'lambda': 5.559712967189377, 'alpha': 0.010702440429086968, 'subsample': 0.9146218332915261, 'colsample_bytree': 0.8238679496455517, 'min_child_weight': 4, 'max_delta_step': 0.9862581928289774, 'iqr_factor': 1.4695174988541395}. Best is trial 15 with value: 0.758.
2026-03-16 17:35:45,916 - optuna.study.study - INFO - Trial 16 finished with value: 0.756175 and parameters: {'n_estimators': 503, 'max_depth': 4, 'learning_rate': 0.057177711338367715, 'gamma': 0.8202776798861497, 'lambda': 5.497633085953681, 'alpha': 0.11413283404699685, 'subsample': 0.9286995870320185, 'colsample_bytree': 0.6320351832311851, 'min_child_weight': 4, 'max_delta_step': 0.7712870991210591, 'iqr_factor': 1.4895010678857696}. Best is trial 15 with value: 0.758.
2026-03-16 17:36:26,302 - optuna.study.study - INFO - Trial 17 finished with value: 0.75665 and parameters: {'n_estimators': 822, 'max_depth': 7, 'learning_rate': 0.05256544576788471, 'gamma': 0.9191387314080455, 'lambda': 3.665343677744232, 'alpha': 0.061279588967587006, 'subsample': 0.8549057484814206, 'colsample_bytree': 0.7861983638172064, 'min_child_weight': 3, 'max_delta_step': 0.9973535808046256, 'iqr_factor': 1.9587063547804853}. Best is trial 15 with value: 0.758.
2026-03-16 17:36:52,938 - optuna.study.study - INFO - Trial 18 finished with value: 0.7559750000000001 and parameters: {'n_estimators': 505, 'max_depth': 6, 'learning_rate': 0.127931251222846, 'gamma': 2.370209041456632, 'lambda': 6.560512941389462, 'alpha': 4.686477740229728, 'subsample': 0.9251914905875722, 'colsample_bytree': 0.8609555272514225, 'min_child_weight': 4, 'max_delta_step': 0.8015572848119232, 'iqr_factor': 1.4483328182762338}. Best is trial 15 with value: 0.758.
2026-03-16 17:37:47,692 - optuna.study.study - INFO - Trial 19 finished with value: 0.75545 and parameters: {'n_estimators': 787, 'max_depth': 4, 'learning_rate': 0.015112212026146862, 'gamma': 1.1440599399297513, 'lambda': 3.9517531408752116, 'alpha': 3.060743944257414, 'subsample': 0.9501800737386489, 'colsample_bytree': 0.9804385584664498, 'min_child_weight': 6, 'max_delta_step': 0.602936408709718, 'iqr_factor': 1.9223202307017968}. Best is trial 15 with value: 0.758.
2026-03-16 17:38:19,856 - optuna.study.study - INFO - Trial 20 finished with value: 0.7575000000000001 and parameters: {'n_estimators': 558, 'max_depth': 5, 'learning_rate': 0.03739105677499579, 'gamma': 0.35881729909036175, 'lambda': 1.6210114118267558, 'alpha': 0.5952178748498735, 'subsample': 0.8811949504827981, 'colsample_bytree': 0.7597569374251228, 'min_child_weight': 3, 'max_delta_step': 0.37006851357677706, 'iqr_factor': 1.3697122248774225}. Best is trial 15 with value: 0.758.
2026-03-16 17:38:51,784 - optuna.study.study - INFO - Trial 21 finished with value: 0.756975 and parameters: {'n_estimators': 574, 'max_depth': 5, 'learning_rate': 0.040552270408107445, 'gamma': 0.3855775142978719, 'lambda': 1.7073295571396698, 'alpha': 0.5553018022816727, 'subsample': 0.8888488520971085, 'colsample_bytree': 0.7673622099580432, 'min_child_weight': 3, 'max_delta_step': 0.40852951751971517, 'iqr_factor': 1.323204463918333}. Best is trial 15 with value: 0.758.
